"cause","effect"
"ACTL6A","POLR2A"
"ACTL6A","TRRAP"
"ACTN1","CDK5"
"ACTN1","CSRP1"
"ACTN1","CSRP3"
"ACTN1","FBP1"
"ACTN1","KAT2B"
"ACTN1","MAGEA11"
"ACTN1","PDLIM1"
"ACTN1","SLC2A4"
"ACTN1","SSX2IP"
"ACTN1","ZYX"
"ACTN4","ACTN3"
"ACTN4","CAMK2B"
"ACTN4","CAMK2G"
"ACTN4","LRRC7"
"ACTN4","MYOZ1"
"ACTN4","PDLIM1"
"ACTN4","TRIM3"
"ACTR1A","DCTN1"
"ACTR1B","CHD3"
"ACTR1B","DCTN1"
"ACTR2","ACTR3"
"ACTR2","ARPC4"
"ACTR2","ARPC5"
"ACTR2","IQGAP2"
"ACTR3","ARPC3"
"ACTR3","CDC42"
"ACTR3","CDH1"
"ACVR1","FBXO30"
"ACVR1","FCHO1"
"ACVR1","FKBP4"
"ACVR1","RAB17"
"ACVR1","RAB25"
"ACVR1","RAB33B"
"ACVR1","RASD2"
"ACVR1","RHOJ"
"ACVR1","SQSTM1"
"ACVR1B","INHBC"
"ACVR1B","SNX2"
"ACVR1B","TGFBRAP1"
"ACVR2A","BMP6"
"ACVR2A","GDF5"
"ACVR2A","GDF9"
"ACVR2B","ACVR1B"
"ACVR2B","INHBC"
"ACVR2B","SNX1"
"ACVR2B","SYNJ2BP"
"ACVR2B","TGFBRAP1"
"ACVRL1","ACVR2A"
"ACVRL1","TGFB1"
"ACVRL1","TGFBR2"
"ACVRL1","TGFBRAP1"
"ACVRL1","XIAP"
"ADAM10","TGFA"
"ADAM15","HCK"
"ADAM17","FHL2"
"ADAM17","MAD2L1"
"ADAM17","PTPN3"
"ADAM17","TGFA"
"ADAM17","TNFSF11"
"ADAM9","MAD2L2"
"ADAM9","SH3D19"
"ADAM9","SH3GLB1"
"ADAM9","SNX9"
"ADAMTS10","ANXA7"
"ADAMTS10","PCYT2"
"ADAMTS4","FN1"
"ADAMTSL4","FHL3"
"ADAMTSL4","SORBS3"
"ADAP1","NCL"
"ADCY5","PRKACA"
"ADCY5","PRKCZ"
"ADCY6","CHRNA7"
"ADCYAP1","VIPR1"
"ADD1","TK1"
"ADD2","ADD1"
"ADD2","CALM1"
"ADD2","PRKCD"
"ADIPOQ","CDH13"
"ADIPOR1","APPL1"
"ADIPOR2","ADIPOQ"
"ADM","CFH"
"ADM","EDN1"
"ADORA1","EPB41L2"
"ADORA1","GNAI2"
"ADORA1","GNAZ"
"ADORA2A","ACTN1"
"ADORA2A","ACTN4"
"ADORA2A","CYTH2"
"ADORA2A","DRD2"
"ADORA2B","EZR"
"ADORA2B","SLC9A3R2"
"ADRA1A","ADRA1B"
"ADRA1A","BMP1"
"ADRA1A","FLNC"
"ADRA1A","RGS2"
"ADRA1B","AP2M1"
"ADRA1B","EZR"
"ADRA1B","FLNC"
"ADRA1D","FLNC"
"ADRA1D","SNTB1"
"ADRA2A","GNAI1"
"ADRA2A","GNAI2"
"ADRA2A","PRKCD"
"ADRA2B","GNAI2"
"ADRA2C","EIF2B1"
"ADRB1","ADRA2A"
"ADRB1","DLG4"
"ADRB1","GPRASP2"
"ADRB1","MAGI3"
"ADRB1","SH3GL3"
"ADRB2","AKAP12"
"ADRB2","AKAP5"
"ADRB2","CSK"
"ADRB2","GNA11"
"ADRB2","GRK5"
"ADRB2","GRK6"
"ADRB2","PRKCD"
"ADRB2","SLC9A3R1"
"ADRB2","SRC"
"ADRB3","ADRB2"
"ADRB3","SRC"
"ADRBK1","AKAP12"
"ADRBK1","ARRB1"
"ADRBK1","CAPN2"
"ADRBK1","CAV1"
"ADRBK1","GIT1"
"ADRBK1","PDE6G"
"ADRBK1","PEBP1"
"ADRBK1","PRKCG"
"ADRBK1","RPLP2"
"ADRBK1","SRC"
"ADRBK2","CXCR4"
"ADRBK2","GIT1"
"AES","GTF2E1"
"AES","HMGB1"
"AFAP1","PRKCD"
"AFAP1","PRKCE"
"AFAP1","PRKCZ"
"AFAP1","SRC"
"AFF1","MLLT1"
"AFF4","CCNT1"
"AFG3L2","PHC2"
"AFP","SGSM2"
"AFTPH","AP1G2"
"AFTPH","UBE3A"
"AGFG1","EPS15"
"AGFG1","PIP4K2A"
"AGFG1","XPO1"
"AGGF1","CCDC85B"
"AGR2","BRD7"
"AGR2","MED31"
"AGT","AGTR1"
"AGT","CMA1"
"AGT","CTSG"
"AGT","EWSR1"
"AGTR1","ADRBK1"
"AGTR1","ADRBK2"
"AGTR1","AGT"
"AGTR1","AGTRAP"
"AGTR1","DNAJC14"
"AGTR1","JAK2"
"AGTR1","NOS3"
"AGTR1","RAF1"
"AGTR1","THOP1"
"AHR","ARNT"
"AHR","ARNTL"
"AHR","CCNT1"
"AHR","EP300"
"AHR","GTF2F2"
"AHR","NCOA1"
"AHR","NCOA2"
"AHR","RB1"
"AHR","TAF4"
"AHR","TAF7"
"AHR","TBP"
"AIF1","LCP1"
"AIFM1","WWC1"
"AIP","TOMM20"
"AK5","RNF114"
"AKAP1","PPP1CA"
"AKAP1","PRKAR2A"
"AKAP10","PRKAR1A"
"AKAP10","PRKAR2A"
"AKAP10","VASP"
"AKAP11","GSK3B"
"AKAP12","FHL1"
"AKAP13","PRKAR2A"
"AKAP2","PRKAR2B"
"AKAP3","PRKAR2A"
"AKAP5","CALM1"
"AKAP5","IQGAP1"
"AKAP5","PPP3CA"
"AKAP5","PRKAR2A"
"AKAP5","PRKAR2B"
"AKAP8","CCND3"
"AKAP8","MCM2"
"AKAP8","MYCBP"
"AKAP8","PRKAR2B"
"AKAP8L","LBR"
"AKAP9","CSNK1E"
"AKAP9","PKN1"
"AKAP9","PPP2R3A"
"AKAP9","TRIP10"
"AKR1C3","ACIN1"
"AKT1","AKT1S1"
"AKT1","AKTIP"
"AKT1","ATXN1"
"AKT1","BAD"
"AKT1","CAMKK1"
"AKT1","CASP3"
"AKT1","CDC42"
"AKT1","CHUK"
"AKT1","DCTN1"
"AKT1","EIF4EBP1"
"AKT1","GSK3A"
"AKT1","GSK3B"
"AKT1","HTT"
"AKT1","IKBKB"
"AKT1","MAP3K11"
"AKT1","MAPK8IP1"
"AKT1","MAPKAPK2"
"AKT1","MDM2"
"AKT1","MDM4"
"AKT1","PDK2"
"AKT1","PKN2"
"AKT1","PPP2CA"
"AKT1","PTEN"
"AKT1","RPS6KB1"
"AKT1","TRIB3"
"AKT1","TSC2"
"AKT1","YAP1"
"AKT1S1","TCEA2"
"AKT2","AKT1"
"AKT2","AKT1S1"
"AKT2","CHUK"
"AKT2","GSK3B"
"AKT2","HSP90AA1"
"AKT2","MTCP1"
"AKT2","RAB3D"
"AKT2","SH3RF1"
"AKT2","SLC2A4"
"AKT2","TSC2"
"AKTIP","GTF3C1"
"ALAS1","CDKN1A"
"ALAS1","STAMBP"
"ALB","LUC7L2"
"ALB","TK1"
"ALB","YWHAG"
"ALDH2","C14orf1"
"ALDH2","HSPE1"
"ALDH2","IGSF21"
"ALDH2","UNC119"
"ALDOA","XRN1"
"ALG13","ATXN1L"
"ALK","PTN"
"ALOX5","ACTB"
"ALOX5","MAPKAPK2"
"ALS2CR11","CCDC85B"
"ALS2CR11","SSSCA1"
"ALS2CR11","TEX11"
"AMBP","ALB"
"AMFR","GPI"
"AMFR","TOM1L1"
"AMOTL2","KRT15"
"AMPH","CDK5"
"AMPH","CDK5R1"
"AMPH","DNM1"
"AMPH","SH3GLB1"
"ANAPC10","CDC27"
"ANAPC5","MAPK6"
"ANG","PTEN"
"ANGPT1","ANGPT2"
"ANGPT2","ANXA7"
"ANGPT2","CDKN1A"
"ANGPTL1","TEK"
"ANK1","EPB42"
"ANK1","NBPF3"
"ANK1","NFASC"
"ANK1","SLC4A1"
"ANK1","SLC4A3"
"ANK1","SPTAN1"
"ANK2","DNAJB1"
"ANK2","L1CAM"
"ANK2","OBSCN"
"ANK2","SPTBN1"
"ANK3","HOOK1"
"ANK3","SCN2A"
"ANKRD11","HDAC5"
"ANKS1A","YWHAG"
"ANKS1B","LRP2"
"ANKZF1","AURKB"
"ANP32A","SET"
"ANXA1","C1orf123"
"ANXA1","CCT7"
"ANXA1","CSAD"
"ANXA1","FAF1"
"ANXA1","GAPDH"
"ANXA1","OTUB1"
"ANXA1","RPA1"
"ANXA1","UBE2D1"
"ANXA1","XRCC6"
"ANXA11","S100A6"
"ANXA2","CD99"
"ANXA2","LGALS13"
"ANXA2","MAP3K4"
"ANXA2","S100A10"
"ANXA2","S100A4"
"ANXA2","S100A6"
"ANXA2","SRC"
"ANXA3","IGSF21"
"ANXA5","EED"
"ANXA5","EIF4G1"
"ANXA6","CDC73"
"ANXA7","APLP1"
"ANXA7","CCDC90B"
"ANXA7","CDK4"
"ANXA7","CPSF3L"
"ANXA7","DDAH2"
"ANXA7","FBN3"
"ANXA7","MED31"
"ANXA7","MPPED1"
"ANXA7","OTUB1"
"ANXA7","RPL13"
"ANXA7","SETDB1"
"ANXA7","SUMO3"
"ANXA7","TLE1"
"ANXA7","UBE2D1"
"ANXA7","VIM"
"ANXA7","WDR73"
"AP1G1","AFTPH"
"AP1G1","RABGEF1"
"AP1G1","SYP"
"AP1M1","AP2B1"
"AP1M1","DVL2"
"AP1M1","EHD2"
"AP1M1","FXR2"
"AP1M1","HNRNPC"
"AP1M1","LAMP1"
"AP1M1","TIFA"
"AP1M1","VAMP4"
"AP1M2","AP1B1"
"AP1M2","AP1G1"
"AP1M2","AP1M1"
"AP1M2","AP1S1"
"AP1M2","AP2B1"
"AP1M2","GAK"
"AP1S1","AP1G2"
"AP1S1","AP2A2"
"AP1S2","AP1G2"
"AP2A1","BIN1"
"AP2A1","CLINT1"
"AP2A1","EPN1"
"AP2A1","EPS15"
"AP2A1","PICALM"
"AP2A1","RIT1"
"AP2A2","HTT"
"AP2B1","AP2A2"
"AP2B1","AP2M1"
"AP2B1","ATM"
"AP2B1","FAM46C"
"AP2B1","HIP1"
"AP2B1","MLH1"
"AP2B1","NUP54"
"AP2B1","POM121"
"AP2B1","RIBC2"
"AP2B1","TERF2IP"
"AP2B1","TUBGCP4"
"AP2M1","AQP4"
"AP2M1","ATXN1L"
"AP2M1","EHD2"
"AP2M1","FXR2"
"AP2M1","GAK"
"AP2M1","MED4"
"AP2M1","MEGF10"
"AP2M1","TBC1D5"
"AP3B1","ARF1"
"AP3B1","CLTC"
"AP3B1","CSNK1A1"
"AP3B1","PTRF"
"AP3B1","XPOT"
"AP3B2","CSNK1A1"
"AP4M1","ARF1"
"AP4M1","TGOLN2"
"APAF1","AVEN"
"APAF1","CASP3"
"APAF1","HSPA1A"
"APBA1","APP"
"APBA1","KCNJ12"
"APBA1","KIF17"
"APBA1","PSEN1"
"APBA1","STXBP1"
"APBA2","CLSTN1"
"APBA2","STXBP1"
"APBA3","BCR"
"APBB1","APLP1"
"APBB1","CLSTN1"
"APBB1IP","VASP"
"APBB2","SMURF1"
"APC","CTBP1"
"APC","SIAH1"
"APCS","C1QA"
"APCS","COL4A1"
"APCS","FCGR2B"
"APCS","FN1"
"APCS","GOT2"
"APCS","LAMA1"
"APEH","TMEM62"
"APEX1","ANP32A"
"APEX1","HDAC1"
"APEX1","HMGB2"
"APEX1","PCNA"
"APEX1","SET"
"APEX1","UBE2I"
"APEX2","CALCOCO2"
"APEX2","PCNA"
"APLP1","CDK4"
"APLP1","CDKN2C"
"APLP1","ING5"
"APLP1","SETDB1"
"APLP1","VIM"
"APOA1","APOA1BP"
"APOA1BP","MAPK6"
"APOB","HSP90AA1"
"APOB","HSP90B1"
"APOB","PDIA4"
"APOB","PPIB"
"APOE","CNTF"
"APOE","CTSB"
"APOE","LRP1"
"APOE","LRP2"
"APOE","MAP2"
"APOE","NEFM"
"APP","APBA2"
"APP","APBB2"
"APP","APBB3"
"APP","BGN"
"APP","CASP3"
"APP","CASP6"
"APP","CASP8"
"APP","CAV1"
"APP","CDK5"
"APP","COL4A2"
"APP","FBLN1"
"APP","GAPDH"
"APP","GSK3B"
"APP","GSN"
"APP","HADHB"
"APP","HSD17B10"
"APP","HSPG2"
"APP","HTRA2"
"APP","IDE"
"APP","ITM2B"
"APP","MAPK8IP1"
"APP","NAE1"
"APP","NF1"
"APP","NID1"
"APP","NUMB"
"APP","NUMBL"
"APP","PSEN1"
"APP","PSEN2"
"APP","SERPINA3"
"APP","SNCA"
"APP","TP53BP2"
"APPBP2","CHMP5"
"APPBP2","MFSD3"
"APPL1","AKT1"
"APPL1","AKT2"
"APPL1","APPL2"
"APPL1","PIK3CA"
"APPL1","RAB5A"
"APPL1","RBBP7"
"APTX","CALCOCO1"
"APTX","MAPKBP1"
"APTX","XRCC4"
"AQP1","CCDC85B"
"AQP1","EFEMP2"
"AQP1","KCTD17"
"AQP1","KRTAP4-12"
"AQP4","CSNK2A1"
"AR","AES"
"AR","ATF2"
"AR","CREBBP"
"AR","EP300"
"AR","FOXA1"
"AR","GTF2H1"
"AR","KAT2B"
"AR","MED1"
"AR","MED14"
"AR","NCOA1"
"AR","NCOA2"
"AR","NCOA3"
"AR","NCOA4"
"AR","NCOR1"
"AR","NFKB1"
"AR","NR2C1"
"AR","NRIP1"
"AR","NSD1"
"AR","PIAS1"
"AR","PIAS2"
"AR","PIAS3"
"AR","PIAS4"
"AR","POU2F1"
"AR","RB1"
"AR","RBAK"
"AR","RNF14"
"AR","SART3"
"AR","SMAD3"
"AR","SP1"
"AR","SRY"
"AR","TMF1"
"AR","TRIM24"
"AR","UBE2I"
"AR","UBE3A"
"ARAF","KLHL12"
"ARAP1","ARIH2"
"ARAP1","ARPC3"
"ARAP1","XRCC6"
"AREG","CCND3"
"AREG","UBQLN4"
"ARF1","AP1B1"
"ARF1","ARFGAP1"
"ARF1","ARFIP1"
"ARF1","ARFIP2"
"ARF1","ARHGAP21"
"ARF1","ASAP2"
"ARF1","COPB1"
"ARF1","COPE"
"ARF1","CYTH1"
"ARF1","CYTH2"
"ARF1","EEF1G"
"ARF1","INSR"
"ARF1","MDM4"
"ARF1","PICK1"
"ARF1","PLD1"
"ARF1","PLD2"
"ARF1","RALA"
"ARF1","TMED2"
"ARF3","ARFIP2"
"ARF3","SLC2A4"
"ARF6","AP3B1"
"ARF6","ARFIP2"
"ARF6","ARRB1"
"ARF6","ASAP2"
"ARF6","PIP5K1A"
"ARFGAP1","CSNK1D"
"ARFGAP1","MAP1LC3B"
"ARFGAP1","TK1"
"ARFGEF2","ARFGEF1"
"ARFGEF2","PRPF40A"
"ARFIP1","SLC2A4"
"ARFIP2","ITGB3BP"
"ARG1","FLOT1"
"ARHGAP1","BNIP2"
"ARHGAP1","KIF1B"
"ARHGAP1","RASA1"
"ARHGAP1","RHOC"
"ARHGAP15","RAC1"
"ARHGAP21","RHOA"
"ARHGAP26","PKN1"
"ARHGAP5","PRKAR2A"
"ARHGAP5","RASA1"
"ARHGAP5","SMURF2"
"ARHGDIA","CBX5"
"ARHGDIA","TRIM13"
"ARHGDIA","UBE2L6"
"ARHGDIB","CASP3"
"ARHGDIB","CDC42"
"ARHGDIB","EZR"
"ARHGDIB","RAC1"
"ARHGDIB","RAC2"
"ARHGDIB","RAC3"
"ARHGDIB","RHOH"
"ARHGDIB","VAV1"
"ARHGEF1","CSNK1E"
"ARHGEF1","MYO18A"
"ARHGEF11","GNA12"
"ARHGEF11","PLXNB3"
"ARHGEF11","RHOA"
"ARHGEF12","CD44"
"ARHGEF12","GNA13"
"ARHGEF12","IGF1R"
"ARHGEF12","RHOA"
"ARHGEF15","C11orf49"
"ARHGEF18","RHOA"
"ARHGEF2","PAK1"
"ARHGEF2","YWHAE"
"ARHGEF2","YWHAG"
"ARHGEF6","PAK1"
"ARHGEF6","PARVB"
"ARHGEF6","TMEM108"
"ARHGEF6","YWHAG"
"ARHGEF7","ARHGEF6"
"ARHGEF7","CBLB"
"ARHGEF7","GIT2"
"ARHGEF7","PAK1"
"ARHGEF7","TUBB3"
"ARHGEF7","YWHAG"
"ARID1B","SMARCA4"
"ARID2","SMARCE1"
"ARID3A","TP53"
"ARID3A","UBE2E3"
"ARID4A","HDAC2"
"ARID4A","SIN3A"
"ARIH1","UBE2L3"
"ARIH2","UBE2L3"
"ARL15","CCDC90B"
"ARL15","GRIPAP1"
"ARL15","RPL8"
"ARL15","UBR1"
"ARL3","TLE1"
"ARL4D","EML4"
"ARL4D","TLE1"
"ARL5A","CBX5"
"ARL6IP1","FXR2"
"ARMCX3","CLTC"
"ARNT","AHR"
"ARNT","EP300"
"ARNT","EPAS1"
"ARNT","GTF2F2"
"ARNT","HEY2"
"ARNT","NCOA1"
"ARNT","NCOA2"
"ARNT","NCOR2"
"ARNT","SIM1"
"ARNT","TRIP11"
"ARNT","UBE2I"
"ARNTL","AHR"
"ARNTL","CLOCK"
"ARNTL","HLF"
"ARNTL","NPAS2"
"ARNTL","PER3"
"ARPC1B","ACTB"
"ARPC1B","WAS"
"ARPC4","ARPC3"
"ARRB1","CD2AP"
"ARRB1","CHUK"
"ARRB1","CLTC"
"ARRB1","DNAJB6"
"ARRB1","DVL1"
"ARRB1","DVL2"
"ARRB1","HAX1"
"ARRB1","HNRNPA1"
"ARRB1","MAPK1"
"ARRB1","MAPK10"
"ARRB1","MAPK3"
"ARRB1","MAPK9"
"ARRB1","MATN2"
"ARRB1","MDM2"
"ARRB1","SET"
"ARRB1","SIPA1"
"ARRB1","TOP2A"
"ARRB1","YAF2"
"ARRB2","AIP"
"ARRB2","AP1B1"
"ARRB2","AP2B1"
"ARRB2","CHUK"
"ARRB2","CSNK2A1"
"ARRB2","CSNK2A2"
"ARRB2","HIPK3"
"ARRB2","MAP3K5"
"ARRB2","MAPK1"
"ARRB2","MDM2"
"ARRB2","MED8"
"ARRB2","RAF1"
"ARRB2","YAF2"
"ASAH1","SETDB1"
"ASAP1","SH3KBP1"
"ASAP2","RAN"
"ASAP2","SH3KBP1"
"ASB13","TRIP13"
"ASCC2","ELAC2"
"ASCC2","GTF3C1"
"ASCC2","MED31"
"ASCC2","SNRPB"
"ASCC2","TBC1D17"
"ASCC3","TRIP4"
"ASF1A","H3F3A"
"ASF1A","HIRA"
"ASGR1","DHFR"
"ASGR2","ASGR1"
"ASRGL1","MAP2K5"
"ATF1","CREB1"
"ATF1","CREBBP"
"ATF1","GABPA"
"ATF1","GABPB1"
"ATF1","SPI1"
"ATF2","AR"
"ATF2","ATF7"
"ATF2","FOS"
"ATF2","JDP2"
"ATF2","RB1"
"ATF2","SMAD3"
"ATF2","UBE2I"
"ATF2","UTF1"
"ATF3","JUN"
"ATF3","JUNB"
"ATF3","JUND"
"ATF4","CEBPB"
"ATF4","DDIT3"
"ATF4","GPS2"
"ATF4","JUN"
"ATF4","NFE2L2"
"ATF5","CDC34"
"ATF7","TAF12"
"ATF7IP","ACTB"
"ATF7IP","CEP250"
"ATF7IP","DISC1"
"ATF7IP","GTF2H1"
"ATF7IP","LUC7L2"
"ATF7IP","PAPPA2"
"ATF7IP","PIAS3"
"ATF7IP","POLR2D"
"ATF7IP","POLR2G"
"ATF7IP","QRICH1"
"ATF7IP","SETDB1"
"ATF7IP","TTC3"
"ATG12","ATG7"
"ATG12","MDFI"
"ATG3","GABARAPL2"
"ATG7","MAP1LC3B"
"ATM","AP3B2"
"ATM","CHEK1"
"ATM","EIF4EBP1"
"ATM","H2AFX"
"ATM","MDC1"
"ATM","MDM2"
"ATM","MDM4"
"ATM","MRE11A"
"ATM","NBN"
"ATM","PRKDC"
"ATM","RAD17"
"ATM","RAD51"
"ATM","RBBP8"
"ATM","RHEB"
"ATM","STK11"
"ATM","TOPBP1"
"ATM","TP53BP1"
"ATM","WRN"
"ATM","XRCC5"
"ATN1","AGRN"
"ATN1","CASP3"
"ATN1","CBFA2T2"
"ATN1","CENPJ"
"ATN1","DMPK"
"ATN1","EFCAB4B"
"ATN1","EFEMP1"
"ATN1","EWSR1"
"ATN1","FBLN5"
"ATN1","GCC1"
"ATN1","LYST"
"ATN1","MEGF8"
"ATN1","NOC2L"
"ATN1","PSMA3"
"ATN1","RAD54L2"
"ATN1","RBM10"
"ATN1","RBPMS"
"ATN1","RNF31"
"ATN1","SIAH1"
"ATN1","SUMO2"
"ATN1","SYVN1"
"ATN1","TEP1"
"ATN1","TRIP6"
"ATN1","USP54"
"ATN1","VIM"
"ATN1","WDR5"
"ATN1","WWP1"
"ATN1","ZMYND8"
"ATP1A1","MAPK3"
"ATP1B1","DDAH2"
"ATP1B1","GCH1"
"ATP1B1","PSME1"
"ATP2A2","BCL2"
"ATP2A2","CAMK2A"
"ATP2B1","CSE1L"
"ATP2B1","MBIP"
"ATP2B1","SEC31A"
"ATP2B4","RASSF1"
"ATP2B4","SRC"
"ATP5A1","ATP5C1"
"ATP5B","ATP5C1"
"ATP5B","PSME3"
"ATP5B","TK1"
"ATP5B","YWHAG"
"ATP5C1","MED15"
"ATP5J","MAPK6"
"ATP5J2","ZFPL1"
"ATP6V0C","MARK3"
"ATP6V0C","PDPK1"
"ATP6V1A","CDKN1A"
"ATP6V1B1","ACTN4"
"ATP6V1E1","ALDOA"
"ATP6V1E1","ALDOB"
"ATPIF1","CHD3"
"ATPIF1","GSK3B"
"ATR","CHD4"
"ATR","CHEK1"
"ATR","MSH2"
"ATR","NBN"
"ATR","XRCC5"
"ATRX","EZH2"
"ATRX","HDAC4"
"ATXN1","ANKHD1"
"ATXN1","ATXN1L"
"ATXN1","ATXN2"
"ATXN1","CCDC136"
"ATXN1","CCNK"
"ATXN1","CDK6"
"ATXN1","COIL"
"ATXN1","DAZAP2"
"ATXN1","DCTN3"
"ATXN1","EIF4ENIF1"
"ATXN1","FAM46A"
"ATXN1","GSPT1"
"ATXN1","HPCAL1"
"ATXN1","IPO8"
"ATXN1","KLHL12"
"ATXN1","KLHL8"
"ATXN1","LDB1"
"ATXN1","MED15"
"ATXN1","NLK"
"ATXN1","POM121"
"ATXN1","PQBP1"
"ATXN1","PSMC3"
"ATXN1","PUM1"
"ATXN1","RAD54L2"
"ATXN1","SPEN"
"ATXN1","TBC1D5"
"ATXN1","TRIM32"
"ATXN1","TTC19"
"ATXN1","USP7"
"ATXN1L","AES"
"ATXN1L","ANKHD1"
"ATXN1L","CBFA2T2"
"ATXN1L","CHD6"
"ATXN1L","COIL"
"ATXN1L","CTBP1"
"ATXN1L","RAD54L2"
"ATXN1L","TRIP11"
"ATXN2","ATXN1"
"ATXN2","TDRD7"
"ATXN2","ZNRD1"
"ATXN3","EWSR1"
"ATXN3","PSMD7"
"ATXN3","RAD23A"
"ATXN3","RAD23B"
"ATXN3","RPS6KA1"
"ATXN3","TK1"
"ATXN7","CRX"
"ATXN7","TP53BP2"
"ATXN7L3","SERTAD1"
"AUP1","RNF11"
"AURKA","CDC20"
"AURKA","CDC25B"
"AURKA","NIN"
"AURKA","NME1"
"AURKA","PPP1CA"
"AURKB","HIST1H3A"
"AURKB","INCENP"
"AURKB","TACC1"
"AVPR1A","GRK5"
"AVPR2","ARRB2"
"AVPR2","C1QTNF1"
"AVPR2","GRK5"
"AXIN1","ANP32A"
"AXIN1","APC"
"AXIN1","CRMP1"
"AXIN1","CSNK1E"
"AXIN1","DAB2"
"AXIN1","DVL1"
"AXIN1","DVL2"
"AXIN1","DVL3"
"AXIN1","GAK"
"AXIN1","JUP"
"AXIN1","MAP3K4"
"AXIN1","PPP2CB"
"AXIN1","PPP2R5C"
"AXIN1","SH3GL1"
"AXIN1","UTP14A"
"AXL","NCK2"
"AXL","PIK3R1"
"AXL","PIK3R2"
"AXL","PTPN11"
"AXL","SOCS1"
"AXL","SRC"
"AXL","TENC1"
"B2M","CD1B"
"B2M","HLA-A"
"B2M","PRSS23"
"B9D1","EXOSC10"
"BACE1","CSNK1D"
"BACE1","PSEN1"
"BAD","BCL2"
"BAD","BCL2L1"
"BAD","EWSR1"
"BAD","MAPK8"
"BAD","PAK1"
"BAD","PAK7"
"BAD","PPP1CA"
"BAD","SFN"
"BAD","WASF1"
"BAD","YWHAQ"
"BAG1","BCL2L1"
"BAG1","HSPA1A"
"BAG1","PPP1R15A"
"BAG1","PSMD1"
"BAG1","RB1"
"BAG4","BCL2"
"BAHD1","DVL3"
"BAHD1","KRTAP4-12"
"BAHD1","MDFI"
"BAI1","BAIAP2"
"BAI1","DLG4"
"BAI1","MAGI1"
"BAI1","MAGI3"
"BAI2","ARHGAP1"
"BAI2","SHANK1"
"BAIAP2","ATN1"
"BAIAP2","C14orf1"
"BAIAP2","DIAPH1"
"BAIAP2","NCKIPSD"
"BAIAP2","YWHAG"
"BAK1","ARHGDIA"
"BAK1","DBN1"
